transaction_date,ticker,asset_description,type,amount,representative,timestamp,merge_key,people,state,party_x,total_senate_years,total_house_years,total_years,donation_merge_key,name,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,party_y
2017-08-03,AXTA,Axalta Coating Systems Ltd.,purchase,"$15,001 - $50,000","David A Perdue , Jr",1501732800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-03,WLK,Westlake Chemical Corporation,sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1501732800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-03,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1501732800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-02,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1501646400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-31,FEYE,"FireEye, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1501473600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-31,FEYE,"FireEye, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1501473600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-28,LYV,"Live Nation Entertainment, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1501214400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-28,CZR,Caesars Entertainment Corporation,purchase,"$1,001 - $15,000","David A Perdue , Jr",1501214400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-27,URBN,"Urban Outfitters, Inc.",purchase,"$1,001 - $15,000","David A Perdue , Jr",1501128000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-24,CZR,Caesars Entertainment Corporation,purchase,"$1,001 - $15,000","David A Perdue , Jr",1500868800,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-21,URBN,"Urban Outfitters, Inc.",purchase,"$1,001 - $15,000","David A Perdue , Jr",1500609600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-07-21,LYV,"Live Nation Entertainment, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1500609600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-23,XON,Intrexon Corporation,purchase,"$1,001 - $15,000",James M Inhofe,1503460800,"James Inhofe, M.","James Inhofe, M.",Oklahoma,Republican,27,8,35,James Inhofe,James Inhofe,$5903909,$401620,6.80%,Raised over $100k,R
2017-07-25,C,Citigroup Inc.,purchase,"$1,001 - $15,000",Sheldon Whitehouse,1500955200,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-25,HPQ,HP Inc.,purchase,"$1,001 - $15,000",Sheldon Whitehouse,1500955200,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-25,BTO,John Hancock Financial Opportunities Fund,purchase,"$1,001 - $15,000",Sheldon Whitehouse,1500955200,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-13,BMY,Bristol-Myers Squibb Company,sale_partial,"$1,001 - $15,000",Sheldon Whitehouse,1499918400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-28,GS,"The Goldman Sachs Group, Inc.",purchase,"$1,001 - $15,000",Sheldon Whitehouse,1501214400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-28,COF,Capital One Financial Corporation,purchase,"$15,001 - $50,000",Sheldon Whitehouse,1501214400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-28,SBUX,Starbucks Corporation,purchase,"$1,001 - $15,000",Sheldon Whitehouse,1501214400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-28,TSLA,"Tesla, Inc.",purchase,"$1,001 - $15,000",Sheldon Whitehouse,1501214400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-28,JCI,Johnson Controls International plc,purchase,"$1,001 - $15,000",Sheldon Whitehouse,1501214400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-28,CSCO,"Cisco Systems, Inc.",purchase,"$1,001 - $15,000",Sheldon Whitehouse,1501214400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2016-11-16,LW,"Lamb Weston Holdings, Inc.",exchange,"$1,001 - $15,000",Sheldon Whitehouse,1479272400,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2016-07-05,FTV,Fortive Corporation,exchange,"$1,001 - $15,000",Sheldon Whitehouse,1467691200,Sheldon Whitehouse,Sheldon Whitehouse,Rhode Island,Democratic,14,0,14,Sheldon Whitehouse,Sheldon Whitehouse,$6598997,$204809,3.10%,Raised over $100k,D
2017-07-26,DPS,"Dr Pepper Snapple Group, Inc.",purchase,"$100,001 - $250,000",John Hoeven,1501041600,John Hoeven,John Hoeven,North Dakota,Republican,10,0,10,John Hoeven,John Hoeven,$4020075,$172840,4.30%,Raised over $100k,R
2017-08-04,FLR,Fluor Corporation,sale_full,"$50,001 - $100,000",James M Inhofe,1501819200,"James Inhofe, M.","James Inhofe, M.",Oklahoma,Republican,27,8,35,James Inhofe,James Inhofe,$5903909,$401620,6.80%,Raised over $100k,R
2017-07-26,GE,General Electric Company,sale_partial,"$15,001 - $50,000",James M Inhofe,1501041600,"James Inhofe, M.","James Inhofe, M.",Oklahoma,Republican,27,8,35,James Inhofe,James Inhofe,$5903909,$401620,6.80%,Raised over $100k,R
2017-07-20,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",James M Inhofe,1500523200,"James Inhofe, M.","James Inhofe, M.",Oklahoma,Republican,27,8,35,James Inhofe,James Inhofe,$5903909,$401620,6.80%,Raised over $100k,R
2017-07-07,C,Citigroup Inc.,sale_partial,"$50,001 - $100,000",James M Inhofe,1499400000,"James Inhofe, M.","James Inhofe, M.",Oklahoma,Republican,27,8,35,James Inhofe,James Inhofe,$5903909,$401620,6.80%,Raised over $100k,R
2017-07-31,BIDU,"Baidu, Inc.",purchase,"$15,001 - $50,000",Pat Roberts,1501473600,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
