people,state,party,total_senate_years,total_house_years,total_years
"Gregory Carman, W.",New York,Republican,0,2,2
Jean Carnahan,Missouri,Democratic,1,0,1
Russ Carnahan,Missouri,Democratic,0,8,8
"Charles Carney, J.",Ohio,Democratic,0,10,10
"Christopher Carney, P.",Pennsylvania,Democratic,0,4,4
John Carney,Delaware,Democratic,0,6,6
William Carney,New York,Republican,0,8,8
"Thomas Carper, R.",Delaware,Democratic,20,10,30
Bob Carr,Michigan,Democratic,0,18,18
Andre Carson,Indiana,Democratic,0,13,13
Brad Carson,Oklahoma,Democratic,0,4,4
Julia Carson,Indiana,Democratic,0,10,10
Earl Carter,Georgia,Republican,0,6,6
"John Carter, R.",Texas,Republican,0,18,18
"Tim Carter, Lee",Kentucky,Republican,0,16,16
Troy Carter,Louisiana,Democratic,0,0,0
Matt Cartwright,Pennsylvania,Democratic,0,8,8
"Clifford Case, P.",New Jersey,Republican,24,10,34
Ed Case,Hawaii,Democratic,0,7,7
Bob Casey,Texas,Democratic,0,18,18
Robert Casey,Pennsylvania,Democratic,14,0,14
Bill Cassidy,Louisiana,Republican,6,6,12
Sean Casten,Illinois,Democratic,0,2,2
"Michael Castle, N.",Delaware,Republican,0,18,18
Kathy Castor,Florida,Democratic,0,14,14
Joaquin Castro,Texas,Democratic,0,8,8
"John Cavanaugh, J.",Nebraska,Democratic,0,4,4
Madison Cawthorn,North Carolina,Republican,0,0,0
Donald Cazayoux,Louisiana,Democratic,0,1,1
"Elford Cederberg, A.",Michigan,Republican,0,26,26
Steve Chabot,Ohio,Republican,0,24,24
"John Chafee, H.",Rhode Island,Republican,22,0,22
Lincoln Chafee,Rhode Island,Republican,8,0,8
Jason Chaffetz,Utah,Republican,0,8,8
"Charles Chamberlain, E.",Michigan,Republican,0,18,18
Saxby Chambliss,Georgia,Republican,12,8,20
Ben Chandler,Kentucky,Democratic,0,9,9
"Rod Chandler, D.",Washington,Republican,0,10,10
Jim Chapman,Texas,Democratic,0,12,12
"Bill, Chappell, Jr.",Florida,Democratic,0,20,20
"Eugene Chappie, A.",California,Republican,0,6,6
Dick Cheney,Wyoming,Republican,0,12,12
Liz Cheney,Wyoming,Republican,0,4,4
Helen Chenoweth-Hage,Idaho,Republican,0,6,6
Jeff Chiesa,New Jersey,Republican,0,0,0
Travis Childers,Mississippi,Democratic,0,3,3
Lawton Chiles,Florida,Democratic,18,0,18
Shirley Chisholm,New York,Democratic,0,14,14
Chris Chocola,Indiana,Republican,0,4,4
"Donna Christensen, M.",Virgin Islands,Democratic,0,18,18
Jon Christensen,Nebraska,Republican,0,4,4
Dick Chrysler,Michigan,Republican,0,2,2
Judy Chu,California,Democratic,0,12,12
Frank Church,Idaho,Democratic,24,0,24
"David Cicilline, N.",Rhode Island,Democratic,0,10,10
Gilbert Cisneros,California,Democratic,0,2,2
"Donald Clancy, D.",Ohio,Republican,0,16,16
Dick Clark,Iowa,Democratic,6,0,6
"Frank Clark, M.",Pennsylvania,Democratic,0,20,20
"Katherine Clark, M.",Massachusetts,Democratic,0,8,8
Hansen Clarke,Michigan,Democratic,0,2,2
"James Clarke, McC.",North Carolina,Democratic,0,6,6
"Yvette Clarke, D.",New York,Democratic,0,14,14
"Don Clausen, H.",California,Republican,0,20,20
Curt Clawson,Florida,Republican,0,3,3
Del Clawson,California,Republican,0,16,16
"William Clay, (Bill)",Missouri,Democratic,0,32,32
"Wm. Clay, Lacy",Missouri,Democratic,0,20,20
"Eva Clayton, M.",North Carolina,Democratic,0,12,12
Emanuel Cleaver,Missouri,Democratic,0,16,16
Max Cleland,Georgia,Democratic,6,0,6
Bob Clement,Tennessee,Democratic,0,16,16
"James Cleveland, C.",New Hampshire,Republican,0,18,18
