people,state,party,total_senate_years,total_house_years,total_years
"Stephanie Murphy, N.",Florida,Democratic,0,4,4
Tim Murphy,Pennsylvania,Republican,0,14,14
Patty Murray,Washington,Democratic,28,0,28
"John Murtha, P.",Pennsylvania,Democratic,0,37,37
"Marilyn Musgrave, N.",Colorado,Republican,0,6,6
"Edmund Muskie, S.",Maine,Democratic,22,0,22
Raphael Musto,Pennsylvania,Democratic,0,2,2
"Gary Myers, A.",Pennsylvania,Republican,0,4,4
"John Myers, T.",Indiana,Republican,0,30,30
"Michael Myers, O.",Pennsylvania,Democratic,0,4,4
"Sue Myrick, Wilkins",North Carolina,Republican,0,18,18
Jerrold Nadler,New York,Democratic,0,30,30
"Dave Nagle, R",Iowa,Democratic,0,6,6
"John Napier, L.",South Carolina,Republican,0,2,2
"Grace Napolitano, F.",California,Democratic,0,22,22
"William Natcher, H.",Kentucky,Democratic,0,42,42
"Richard Neal, E.",Massachusetts,Democratic,0,32,32
"Stephen Neal, L.",North Carolina,Democratic,0,20,20
"Lucien Nedzi, N.",Michigan,Democratic,0,20,20
"McLeod, Negrete, Gloria",California,Democratic,0,2,2
Joe Neguse,Colorado,Democratic,0,2,2
"Troy Nehls, E.",Texas,Republican,0,0,0
"James Nelligan, L.",Pennsylvania,Republican,0,2,2
Ancher Nelsen,Minnesota,Republican,0,16,16
Ben Nelson,Nebraska,Democratic,12,0,12
Bill Nelson,Florida,Democratic,18,12,30
Gaylord Nelson,Wisconsin,Democratic,18,0,18
George Nethercutt,Washington,Republican,0,10,10
Randy Neugebauer,Texas,Republican,0,14,14
"Mark Neumann, W.",Wisconsin,Republican,0,4,4
Dan Newhouse,Washington,Republican,0,6,6
Marie Newman,Illinois,Democratic,0,0,0
"Robert Ney, W.",Ohio,Republican,0,12,12
Bill Nichols,Alabama,Democratic,0,22,22
Dick Nichols,Kansas,Republican,0,2,2
Don Nickles,Oklahoma,Republican,24,0,24
"Howard Nielson, C.",Utah,Republican,0,8,8
Robert Nix,Pennsylvania,Democratic,0,22,22
"Kristi Noem, L.",South Dakota,Republican,0,8,8
"Richard Nolan, M.",Minnesota,Democratic,0,12,12
Donald Norcross,New Jersey,Democratic,0,7,7
Ralph Norman,South Carolina,Republican,0,4,4
"Anne Northup, M.",Kentucky,Republican,0,10,10
"Eleanor Norton, Holmes",District of Columbia,Democratic,0,30,30
"Charles Norwood, W.",Georgia,Republican,0,12,12
Henry Nowak,New York,Democratic,0,18,18
"Richard Nugent, B.",Florida,Republican,0,6,6
Devin Nunes,California,Republican,0,18,18
Sam Nunn,Georgia,Democratic,26,0,26
Alan Nunnelee,Mississippi,Republican,0,4,4
Jim Nussle,Iowa,Republican,0,16,16
"Glenn Nye, C.",Virginia,Democratic,0,2,2
"George O'Brien, M.",Illinois,Republican,0,14,14
Tom O'Halleran,Arizona,Democratic,0,4,4
"James O'Hara, G.",Michigan,Democratic,0,18,18
Thomas O'Neill,Massachusetts,Democratic,0,34,34
Beto O'Rourke,Texas,Democratic,0,6,6
"Mary Oakar, Rose",Ohio,Democratic,0,16,16
Barack Obama,Illinois,Democratic,3,0,3
Jay Obernolte,California,Republican,0,0,0
"James Oberstar, L.",Minnesota,Democratic,0,36,36
"David Obey, R.",Wisconsin,Democratic,0,42,42
Alexandria Ocasio-Cortez,New York,Democratic,0,2,2
"James Olin, R.",Virginia,Democratic,0,10,10
Pete Olson,Texas,Republican,0,12,12
"John Olver, W.",Massachusetts,Democratic,0,22,22
Ilhan Omar,Minnesota,Democratic,0,2,2
"Solomon Ortiz, P.",Texas,Democratic,0,28,28
Bill Orton,Utah,Democratic,0,6,6
Tom Osborne,Nebraska,Republican,0,6,6
Doug Ose,California,Republican,0,6,6
Jon Ossoff,Georgia,Democratic,0,0,0
C. Otter,Idaho,Republican,0,6,6
"Richard Ottinger, L.",New York,Democratic,0,16,16
Burgess Owens,Utah,Republican,0,0,0
"Major Owens, R.",New York,Democratic,0,24,24
Wayne Owens,Utah,Democratic,0,8,8
"William Owens, L.",New York,Democratic,0,6,6
"Michael Oxley, G.",Ohio,Republican,0,26,26
Ron Packard,California,Republican,0,18,18
Bob Packwood,Oregon,Republican,28,0,28
Alex Padilla,California,Democratic,0,0,0
"Steven Palazzo, M.",Mississippi,Republican,0,10,10
"Frank, Pallone, Jr.",New Jersey,Democratic,0,34,34
"Gary Palmer, J.",Alabama,Republican,0,6,6
Jimmy Panetta,California,Democratic,0,4,4
Leon Panetta,California,Democratic,0,18,18
Chris Pappas,New Hampshire,Democratic,0,2,2
Michael Pappas,New Jersey,Republican,0,2,2
Mike Parker,Mississippi,Republican,0,10,10
Stanford Parris,Virginia,Republican,0,12,12
"Bill, Pascrell, Jr.",New Jersey,Democratic,0,24,24
"Charles, Pashayan, Jr.",California,Republican,0,12,12
"Otto Passman, E.",Louisiana,Democratic,0,30,30
Ed Pastor,Arizona,Democratic,0,24,24
"John Pastore, O.",Rhode Island,Democratic,28,0,28
"William Patman, N.",Texas,Democratic,0,4,4
Wright Patman,Texas,Democratic,0,48,48
"Edward Patten, J.",New Jersey,Democratic,0,18,18
Elizabeth Patterson,South Carolina,Democratic,0,6,6
"Jerry Patterson, M.",California,Democratic,0,10,10
"Edward Pattison, W.",New York,Democratic,0,4,4
Rand Paul,Kentucky,Republican,10,0,10
Ron Paul,Texas,Republican,0,18,18
Erik Paulsen,Minnesota,Republican,0,10,10
Bill Paxon,New York,Republican,0,10,10
"Donald Payne, M.",New Jersey,Democratic,0,23,23
Donald Payne,New Jersey,Democratic,0,9,9
Lewis Payne,Virginia,Democratic,0,10,10
Stevan Pearce,New Mexico,Republican,0,14,14
"James Pearson, B.",Kansas,Republican,18,0,18
"Donald Pease, J.",Ohio,Democratic,0,16,16
"Edward Pease, A.",Indiana,Republican,0,4,4
Claiborne Pell,Rhode Island,Democratic,36,0,36
Nancy Pelosi,California,Democratic,0,34,34
Greg Pence,Indiana,Republican,0,2,2
Mike Pence,Indiana,Republican,0,12,12
"Timothy Penny, J.",Minnesota,Democratic,0,12,12
Claude Pepper,Florida,Democratic,16,28,44
"Charles Percy, H.",Illinois,Republican,18,0,18
David Perdue,Georgia,Republican,6,0,6
"Carl Perkins, C.",Kentucky,Democratic,0,9,9
"Carl Perkins, Dewey",Kentucky,Democratic,0,36,36
Ed Perlmutter,Colorado,Democratic,0,14,14
"Thomas Perriello, S.P.",Virginia,Democratic,0,2,2
Scott Perry,Pennsylvania,Republican,0,8,8
"Gary Peters, C.",Michigan,Democratic,6,6,12
"Scott Peters, H.",California,Democratic,0,8,8
"Collin Peterson, C.",Minnesota,Democratic,0,30,30
"Douglas Peterson, (Pete)",Florida,Democratic,0,6,6
"John Peterson, E.",Pennsylvania,Republican,0,12,12
"Thomas Petri, E.",Wisconsin,Republican,0,36,36
"Jerry Pettis, L.",California,Republican,0,10,10
"Shirley Pettis, N.",California,Republican,0,4,4
"Peter Peyser, A.",New York,Democratic,0,10,10
August Pfluger,Texas,Republican,0,0,0
"David Phelps, D.",Illinois,Democratic,0,4,4
Dean Phillips,Minnesota,Democratic,0,2,2
Charles Pickering,Mississippi,Republican,0,12,12
"Owen Pickett, B.",Virginia,Democratic,0,14,14
"J. Pickle, J.",Texas,Democratic,0,32,32
"Pierluisi, Commissioner",Puerto Rico,Democratic,0,8,8
"Otis Pike, G.",New York,Democratic,0,18,18
Chellie Pingree,Maine,Democratic,0,12,12
Robert Pittenger,North Carolina,Republican,0,6,6
"Joseph Pitts, R.",Pennsylvania,Republican,0,20,20
"Stacey Plaskett, E.",Virgin Islands,Democratic,0,6,6
"Todd Platts, Russell",Pennsylvania,Republican,0,12,12
"W. Poage, R.",Texas,Democratic,0,42,42
Mark Pocan,Wisconsin,Democratic,0,8,8
"Bertram Podell, L.",New York,Democratic,0,8,8
Ted Poe,Texas,Republican,0,14,14
Bruce Poliquin,Maine,Republican,0,4,4
Jared Polis,Colorado,Democratic,0,10,10
"Richard Pombo, W.",California,Republican,0,14,14
Earl Pomeroy,North Dakota,Democratic,0,18,18
Mike Pompeo,Kansas,Republican,0,6,6
"John Porter, Edward",Illinois,Republican,0,22,22
"Jon Porter, C.",Nevada,Republican,0,6,6
Katie Porter,California,Democratic,0,2,2
Rob Portman,Ohio,Republican,10,14,24
Bill Posey,Florida,Republican,0,12,12
Glenn Poshard,Illinois,Democratic,0,10,10
"Walter Powell, E.",Ohio,Republican,0,4,4
Larry Pressler,South Dakota,Republican,18,4,22
Ayanna Pressley,Massachusetts,Democratic,0,2,2
Richardson Preyer,North Carolina,Democratic,0,12,12
"David Price, E.",North Carolina,Democratic,0,32,32
Melvin Price,Illinois,Democratic,0,44,44
"Robert Price, D.",Texas,Republican,0,8,8
Tom Price,Georgia,Republican,0,12,12
Joel Pritchard,Washington,Republican,0,12,12
William Proxmire,Wisconsin,Democratic,32,0,32
Deborah Pryce,Ohio,Republican,0,16,16
"David Pryor, H.",Arkansas,Democratic,18,8,26
"Mark Pryor, L.",Arkansas,Democratic,12,0,12
"Carl Pursell, D.",Michigan,Republican,0,16,16
"Adam Putnam, H.",Florida,Republican,0,10,10
Benjamin Quayle,Arizona,Republican,0,2,2
Dan Quayle,Indiana,Republican,10,4,14
"Albert Quie, H.",Minnesota,Republican,0,22,22
Mike Quigley,Illinois,Democratic,0,12,12
James Quillen,Tennessee,Republican,0,34,34
Jack Quinn,New York,Republican,0,12,12
George Radanovich,California,Republican,0,16,16
Trey Radel,Florida,Republican,0,1,1
Aumua Radewagen,American Samoa,Republican,0,6,6
Nick Rahall,West Virginia,Democratic,0,38,38
"Thomas Railsback, F.",Illinois,Republican,0,16,16
Jim Ramstad,Minnesota,Republican,0,18,18
"William Randall, J.",Missouri,Democratic,0,18,18
Jennings Randolph,West Virginia,Democratic,28,14,42
"Charles Rangel, B.",New York,Democratic,0,46,46
"John Rarick, R.",Louisiana,Democratic,0,8,8
Jamie Raskin,Maryland,Democratic,0,4,4
"William Ratchford, R.",Connecticut,Democratic,0,6,6
John Ratcliffe,Texas,Republican,0,5,5
"Arthur, Ravenel, Jr.",South Carolina,Republican,0,8,8
"Richard Ray, B.",Georgia,Democratic,0,10,10
Bill Redmond,New Mexico,Republican,0,2,2
Jack Reed,Rhode Island,Democratic,24,6,30
Tom Reed,New York,Republican,0,11,11
"Thomas Rees, M.",California,Democratic,0,12,12
Ralph Regula,Ohio,Republican,0,36,36
Denny Rehberg,Montana,Republican,0,12,12
"David Reichert, G.",Washington,Republican,0,14,14
Harry Reid,Nevada,Democratic,30,4,34
"Ogden Reid, R.",New York,Democratic,0,12,12
"James Renacci, B.",Ohio,Republican,0,8,8
Rick Renzi,Arizona,Republican,0,6,6
Guy Reschenthaler,Pennsylvania,Republican,0,2,2
"Henry Reuss, S.",Wisconsin,Democratic,0,28,28
Silvestre Reyes,Texas,Democratic,0,16,16
Mel Reynolds,Illinois,Democratic,0,4,4
"Thomas Reynolds, M.",New York,Republican,0,10,10
"John Rhodes, J.",Arizona,Republican,0,30,30
John Rhodes,Arizona,Republican,0,6,6
"Reid Ribble, J.",Wisconsin,Republican,0,6,6
"Abraham Ribicoff, A.",Connecticut,Democratic,18,4,22
"Kathleen Rice, M.",New York,Democratic,0,6,6
Tom Rice,South Carolina,Republican,0,8,8
Bill Richardson,New Mexico,Democratic,0,16,16
Laura Richardson,California,Democratic,0,6,6
"Cedric Richmond, L.",Louisiana,Democratic,0,10,10
"Frederick Richmond, W.",New York,Democratic,0,8,8
"Thomas Ridge, J.",Pennsylvania,Republican,0,12,12
Donald Riegle,Michigan,Democratic,18,10,28
"E. Rigell, Scott",Virginia,Republican,0,6,6
Denver Riggleman,Virginia,Republican,0,2,2
Frank Riggs,California,Republican,0,6,6
Bob Riley,Alabama,Republican,0,6,6
"Matthew Rinaldo, J.",New Jersey,Republican,0,20,20
"James Risch, E.",Idaho,Republican,12,0,12
"Theodore Risenhoover, M.",Oklahoma,Democratic,0,4,4
Don Ritter,Pennsylvania,Republican,0,14,14
David Rivera,Florida,Republican,0,2,2
"Lynn Rivers, N.",Michigan,Democratic,0,8,8
"Charles Robb, S.",Virginia,Democratic,12,0,12
Clint Roberts,South Dakota,Republican,0,2,2
Pat Roberts,Kansas,Republican,24,16,40
Ray Roberts,Texas,Democratic,0,20,20
"J. Robinson, Kenneth",Virginia,Republican,0,14,14
"Tommy Robinson, F.",Arkansas,Republican,0,6,6
"Howard Robison, W.",New York,Republican,0,18,18
Martha Roby,Alabama,Republican,0,10,10
John Rockefeller,West Virginia,Democratic,30,0,30
Peter Rodino,New Jersey,Democratic,0,40,40
"Ciro Rodriguez, D.",Texas,Democratic,0,12,12
"David Roe, P.",Tennessee,Republican,0,12,12
"Robert Roe, A.",New Jersey,Democratic,0,24,24
Buddy Roemer,Louisiana,Democratic,0,8,8
Tim Roemer,Indiana,Democratic,0,12,12
"James Rogan, E.",California,Republican,0,4,4
Harold Rogers,Kentucky,Republican,0,40,40
"Mike Rogers, D.",Alabama,Republican,0,18,18
"Mike Rogers, J.",Michigan,Republican,0,14,14
"Paul Rogers, G.",Florida,Democratic,0,24,24
Dana Rohrabacher,California,Republican,0,30,30
Todd Rokita,Indiana,Republican,0,8,8
"Romero-Barcelo, Commissioner",Puerto Rico,Democratic,0,8,8
Mitt Romney,Utah,Republican,2,0,2
Teno Roncalio,Wyoming,Democratic,0,10,10
"Angelo Roncallo, D.",New York,Republican,0,2,2
Francis Rooney,Florida,Republican,0,4,4
"Fred Rooney, B.",Pennsylvania,Democratic,0,16,16
"John Rooney, J.",New York,Democratic,0,32,32
"Thomas Rooney, J.",Florida,Republican,0,10,10
Ileana Ros-Lehtinen,Florida,Republican,0,30,30
Charlie Rose,North Carolina,Democratic,0,24,24
"John Rose, W.",Tennessee,Republican,0,2,2
Max Rose,New York,Democratic,0,2,2
Jacky Rosen,Nevada,Democratic,2,2,4
"Sr., Rosendale",Montana,Republican,0,0,0
"Benjamin Rosenthal, S.",New York,Democratic,0,22,22
"Peter Roskam, J.",Illinois,Republican,0,12,12
"Deborah Ross, K.",North Carolina,Democratic,0,0,0
"Dennis Ross, A.",Florida,Republican,0,8,8
Mike Ross,Arkansas,Democratic,0,12,12
Dan Rostenkowski,Illinois,Democratic,0,36,36
"Jr., Roth",Delaware,Republican,32,2,34
Toby Roth,Wisconsin,Republican,0,18,18
"Keith Rothfus, J.",Pennsylvania,Republican,0,6,6
"Steven Rothman, R.",New Jersey,Democratic,0,16,16
Harley Rouda,California,Democratic,0,2,2
Marge Roukema,New Jersey,Republican,0,22,22
Mike Rounds,South Dakota,Republican,6,0,6
"J. Roush, Edward",Indiana,Democratic,0,16,16
"John Rousselot, H.",California,Republican,0,16,16
David Rouzer,North Carolina,Republican,0,6,6
"J. Rowland, Roy",Georgia,Democratic,0,12,12
"John Rowland, G.",Connecticut,Republican,0,6,6
Chip Roy,Texas,Republican,0,2,2
"William Roy, R.",Kansas,Democratic,0,4,4
"Edward Roybal, R.",California,Democratic,0,30,30
Lucille Roybal-Allard,California,Democratic,0,28,28
"Edward Royce, R.",California,Republican,0,26,26
William Royer,California,Republican,0,2,2
Marco Rubio,Florida,Republican,10,0,10
"Eldon Rudd, D.",Arizona,Republican,0,10,10
Warren Rudman,New Hampshire,Republican,12,0,12
Raul Ruiz,California,Democratic,0,8,8
"Harold Runnels, L.",New Mexico,Democratic,0,10,10
Jon Runyan,New Jersey,Republican,0,4,4
"Philip Ruppe, E.",Michigan,Republican,0,12,12
C. Ruppersberger,Maryland,Democratic,0,18,18
"Bobby Rush, L.",Illinois,Democratic,0,28,28
Steve Russell,Oklahoma,Republican,0,4,4
"Martin Russo, A.",Illinois,Democratic,0,18,18
"Earl Ruth, B.",North Carolina,Republican,0,6,6
"John Rutherford, H.",Florida,Republican,0,4,4
"Leo Ryan, J.",California,Democratic,0,6,6
"Paul Ryan, D.",Wisconsin,Republican,0,20,20
Tim Ryan,Ohio,Democratic,0,18,18
Jim Ryun,Kansas,Republican,0,10,10
Gregorio Sablan,Northern Mariana Islands,Democratic,0,12,12
"Martin Sabo, Olav",Minnesota,Democratic,0,28,28
Patricia Saiki,Hawaii,Republican,0,4,4
"John Salazar, T.",Colorado,Democratic,0,6,6
Ken Salazar,Colorado,Democratic,4,0,4
"Maria Salazar, Elvira",Florida,Republican,0,0,0
Bill Sali,Idaho,Republican,0,2,2
Matt Salmon,Arizona,Republican,0,10,10
"Nicolas, San",Guam,Democratic,0,2,2
"Linda Sanchez, T.",California,Democratic,0,18,18
Loretta Sanchez,California,Democratic,0,20,20
Bernard Sanders,Vermont,Independent,14,16,30
Max Sandlin,Texas,Democratic,0,8,8
Charles Sandman,New Jersey,Republican,0,8,8
Mark Sanford,South Carolina,Republican,0,12,12
Terry Sanford,North Carolina,Democratic,8,0,8
"George Sangmeister, E.",Illinois,Democratic,0,6,6
"James Santini, D.",Nevada,Democratic,0,8,8
Rick Santorum,Pennsylvania,Republican,12,4,16
"Ronald Sarasin, A.",Connecticut,Republican,0,6,6
"John Sarbanes, P.",Maryland,Democratic,0,14,14
"Paul Sarbanes, S.",Maryland,Democratic,30,6,36
Bill Sarpalius,Texas,Democratic,0,6,6
Ben Sasse,Nebraska,Republican,6,0,6
Jim Sasser,Tennessee,Democratic,18,0,18
David Satterfield,Virginia,Democratic,0,16,16
Gus Savage,Illinois,Democratic,0,12,12
"Harold Sawyer, S.",Michigan,Republican,0,8,8
Tom Sawyer,Ohio,Democratic,0,16,16
"William Saxbe, B.",Ohio,Republican,6,0,6
Jim Saxton,New Jersey,Republican,0,24,24
"John Saylor, P.",Pennsylvania,Republican,0,26,26
Steve Scalise,Louisiana,Republican,0,13,13
"Mary Scanlon, Gay",Pennsylvania,Democratic,0,3,3
Joe Scarborough,Florida,Republican,0,6,6
Dan Schaefer,Colorado,Republican,0,16,16
Bob Schaffer,Colorado,Republican,0,6,6
"Janice Schakowsky, D.",Illinois,Democratic,0,22,22
Brian Schatz,Hawaii,Democratic,9,0,9
"Mark Schauer, H.",Michigan,Democratic,0,2,2
Lynn Schenk,California,Democratic,0,2,2
"William Scherle, J.",Iowa,Republican,0,8,8
"James Scheuer, H.",New York,Democratic,0,26,26
"Adam Schiff, B.",California,Democratic,0,20,20
Steven Schiff,New Mexico,Republican,0,10,10
"Robert Schilling, T.",Illinois,Republican,0,2,2
Jean Schmidt,Ohio,Republican,0,8,8
"Harrison Schmitt, H.",New Mexico,Republican,6,0,6
"Herman Schneebeli, T.",Pennsylvania,Republican,0,18,18
"Bradley Schneider, Scott",Illinois,Democratic,0,6,6
Claudine Schneider,Rhode Island,Republican,0,10,10
Aaron Schock,Illinois,Republican,0,6,6
Kurt Schrader,Oregon,Democratic,0,12,12
Kim Schrier,Washington,Democratic,0,2,2
"Edward Schrock, L.",Virginia,Republican,0,4,4
Patricia Schroeder,Colorado,Democratic,0,24,24
Bill Schuette,Michigan,Republican,0,6,6
"Richard Schulze, T.",Pennsylvania,Republican,0,18,18
"Charles Schumer, E.",New York,Democratic,22,18,40
"Allyson Schwartz, Y.",Pennsylvania,Democratic,0,10,10
John Schwarz,Michigan,Republican,0,2,2
"Richard Schweiker, S.",Pennsylvania,Republican,12,8,20
David Schweikert,Arizona,Republican,0,10,10
Austin Scott,Georgia,Republican,0,10,10
David Scott,Georgia,Democratic,0,18,18
Hugh Scott,Pennsylvania,Republican,18,16,34
Rick Scott,Florida,Republican,2,0,2
Robert Scott,Virginia,Democratic,0,28,28
Tim Scott,South Carolina,Republican,8,2,10
"William Scott, Lloyd",Virginia,Republican,6,6,12
"Andrea Seastrand, H.",California,Republican,0,2,2
"Keith Sebelius, G.",Kansas,Republican,0,12,12
"John Seiberling, F.",Ohio,Democratic,0,16,16
"Gibbs, Sekula, Shelley",Texas,Republican,0,2,2
F. Sensenbrenner,Wisconsin,Republican,0,42,42
"Jose Serrano, E.",New York,Democratic,0,32,32
Jeff Sessions,Alabama,Republican,20,0,20
Pete Sessions,Texas,Republican,0,22,22
Joe Sestak,Pennsylvania,Democratic,0,4,4
"Terri Sewell, A.",Alabama,Democratic,0,10,10
John Seymour,California,Republican,2,0,2
"John Shadegg, B.",Arizona,Republican,0,16,16
Jeanne Shaheen,New Hampshire,Democratic,12,0,12
"Donna Shalala, E.",Florida,Democratic,0,2,2
Bob Shamansky,Ohio,Democratic,0,2,2
"James Shannon, M.",Massachusetts,Democratic,0,6,6
"Philip Sharp, R.",Indiana,Democratic,0,20,20
E. Shaw,Florida,Republican,0,26,26
Christopher Shays,Connecticut,Republican,0,22,22
Carol Shea-Porter,New Hampshire,Democratic,0,6,6
"Richard Shelby, C.",Alabama,Republican,34,8,42
Karen Shepherd,Utah,Democratic,0,2,2
Brad Sherman,California,Democratic,0,24,24
Mikie Sherrill,New Jersey,Democratic,0,2,2
Don Sherwood,Pennsylvania,Republican,0,8,8
John Shimkus,Illinois,Republican,0,24,24
"George Shipley, E.",Illinois,Democratic,0,20,20
Dick Shoup,Montana,Republican,0,4,4
Ronnie Shows,Mississippi,Democratic,0,4,4
"Garner Shriver, E.",Kansas,Republican,0,16,16
Heath Shuler,North Carolina,Democratic,0,6,6
"Norman Shumway, D.",California,Republican,0,12,12
Bill Shuster,Pennsylvania,Republican,0,18,18
Bud Shuster,Pennsylvania,Republican,0,28,28
Robert Sikes,Florida,Democratic,0,38,38
"Gerry Sikorski, E.",Minnesota,Democratic,0,10,10
"Mark Siljander, D.",Michigan,Republican,0,6,6
Rob Simmons,Connecticut,Republican,0,6,6
Paul Simon,Illinois,Democratic,12,10,22
"Alan Simpson, K.",Wyoming,Republican,18,0,18
"Michael Simpson, K.",Idaho,Republican,0,22,22
Kyrsten Sinema,Arizona,Democratic,2,6,8
Albio Sires,New Jersey,Democratic,0,16,16
Norman Sisisky,Virginia,Democratic,0,18,18
"B. Sisk, F.",California,Democratic,0,24,24
"David Skaggs, E.",Colorado,Democratic,0,12,12
Joe Skeen,New Mexico,Republican,0,22,22
Ike Skelton,Missouri,Democratic,0,34,34
Joe Skubitz,Kansas,Republican,0,16,16
John Slack,West Virginia,Democratic,0,22,22
Jim Slattery,Kansas,Democratic,0,12,12
D. Slaughter,Virginia,Republican,0,8,8
"Louise Slaughter, McIntosh",New York,Democratic,0,31,31
Elissa Slotkin,Michigan,Democratic,0,2,2
Adam Smith,Washington,Democratic,0,24,24
Adrian Smith,Nebraska,Republican,0,14,14
Albert Smith,Alabama,Republican,0,2,2
Bob Smith,New Hampshire,Republican,12,6,18
"Christopher Smith, H.",New Jersey,Republican,0,40,40
Denny Smith,Oregon,Republican,0,10,10
"Gordon Smith, H.",Oregon,Republican,12,0,12
Henry Smith,New York,Republican,0,10,10
Jason Smith,Missouri,Republican,0,8,8
"Joseph Smith, F.",Pennsylvania,Democratic,0,2,2
Lamar Smith,Texas,Republican,0,32,32
Larkin Smith,Mississippi,Republican,0,2,2
Lawrence Smith,Florida,Democratic,0,10,10
Linda Smith,Washington,Republican,0,4,4
"Neal Smith, Edward",Iowa,Democratic,0,36,36
Nick Smith,Michigan,Republican,0,12,12
Peter Smith,Vermont,Republican,0,2,2
Robert Smith,Oregon,Republican,0,14,14
Tina Smith,Minnesota,Democratic,3,0,3
Virginia Smith,Nebraska,Republican,0,16,16
Lloyd Smucker,Pennsylvania,Republican,0,4,4
Vince Snowbarger,Kansas,Republican,0,2,2
"Olympia Snowe, J.",Maine,Republican,18,16,34
M. Snyder,Kentucky,Republican,0,22,22
Vic Snyder,Arkansas,Democratic,0,14,14
"Michael Sodrel, E.",Indiana,Republican,0,2,2
"Stephen Solarz, J.",New York,Democratic,0,18,18
"Hilda Solis, L.",California,Democratic,0,8,8
Gerald Solomon,New York,Republican,0,20,20
Darren Soto,Florida,Democratic,0,4,4
"Mark Souder, E.",Indiana,Republican,0,15,15
"Steve Southerland, II",Florida,Republican,0,4,4
"Zachary Space, T.",Ohio,Democratic,0,4,4
"Abigail Spanberger, Davis",Virginia,Democratic,0,2,2
Ross Spano,Florida,Republican,0,2,2
"John Sparkman, J.",Alabama,Democratic,34,8,42
Victoria Spartz,Indiana,Republican,0,0,0
Arlen Specter,Pennsylvania,Democratic,30,0,30
Jackie Speier,California,Democratic,0,13,13
"Gladys Spellman, Noon",Maryland,Democratic,0,8,8
Floyd Spence,South Carolina,Republican,0,30,30
John Spratt,South Carolina,Democratic,0,28,28
"Germain, St",Rhode Island,Democratic,0,28,28
Debbie Stabenow,Michigan,Democratic,20,4,24
"Edward Stack, J.",Florida,Democratic,0,2,2
"Robert Stafford, T.",Vermont,Republican,18,10,28
"Harley Staggers, O.",West Virginia,Democratic,0,32,32
Harley Staggers,West Virginia,Democratic,0,10,10
"Richard Stallings, H.",Idaho,Democratic,0,8,8
Arlan Stangeland,Minnesota,Republican,0,14,14
Greg Stanton,Arizona,Democratic,0,2,2
"J. Stanton, William",Ohio,Republican,0,18,18
"James Stanton, V.",Ohio,Independent,0,6,6
"Fortney Stark, Pete",California,Democratic,0,40,40
"David Staton, Michael",West Virginia,Republican,0,2,2
Pete Stauber,Minnesota,Republican,0,2,2
Cliff Stearns,Florida,Republican,0,24,24
Tom Steed,Oklahoma,Democratic,0,32,32
Michelle Steel,California,Republican,0,0,0
"Robert Steele, H.",Connecticut,Republican,0,6,6
Alan Steelman,Texas,Republican,0,4,4
Newton Steers,Maryland,Republican,0,2,2
"Elise Stefanik, M.",New York,Republican,0,6,6
Sam Steiger,Arizona,Republican,0,10,10
"William Steiger, A.",Wisconsin,Republican,0,14,14
Bryan Steil,Wisconsin,Republican,0,2,2
"Charles Stenholm, W.",Texas,Democratic,0,26,26
"John Stennis, C.",Mississippi,Democratic,42,0,42
Robert Stephens,Georgia,Democratic,0,16,16
"W. Steube, Gregory",Florida,Republican,0,2,2
"Haley Stevens, M.",Michigan,Democratic,0,2,2
Ted Stevens,Alaska,Republican,42,0,42
Adlai Stevenson,Illinois,Democratic,12,0,12
"Bennett Stewart, McVey",Illinois,Democratic,0,2,2
Chris Stewart,Utah,Republican,0,8,8
Donald Stewart,Alabama,Democratic,4,0,4
Steve Stivers,Ohio,Republican,0,10,10
"David Stockman, A.",Michigan,Republican,0,6,6
Steve Stockman,Texas,Republican,0,4,4
Louis Stokes,Ohio,Democratic,0,30,30
"Richard Stone, (Dick)",Florida,Democratic,6,0,6
"Michael Strang, L.",Colorado,Republican,0,2,2
Luther Strange,Alabama,Republican,1,0,1
"Samuel Stratton, S.",New York,Democratic,0,30,30
Marilyn Strickland,Washington,Democratic,0,0,0
Ted Strickland,Ohio,Democratic,0,12,12
"Frank Stubblefield, A.",Kentucky,Democratic,0,16,16
W. Stuckey,Georgia,Democratic,0,10,10
"Gerry Studds, E.",Massachusetts,Democratic,0,24,24
Bob Stump,Arizona,Republican,0,26,26
Bart Stupak,Michigan,Democratic,0,18,18
"Marlin Stutzman, A.",Indiana,Republican,0,7,7
Dan Sullivan,Alaska,Republican,6,0,6
John Sullivan,Oklahoma,Republican,0,11,11
Leonor Sullivan,Missouri,Democratic,0,24,24
Don Sundquist,Tennessee,Republican,0,12,12
Foto Sunia,American Samoa,Democratic,0,8,8
"John Sununu, E.",New Hampshire,Republican,6,6,12
"Thomas Suozzi, R.",New York,Democratic,0,4,4
Betty Sutton,Ohio,Democratic,0,6,6
Eric Swalwell,California,Democratic,0,8,8
"David Sweeney, McCann",Texas,Republican,0,4,4
"John Sweeney, E.",New York,Republican,0,8,8
Dick Swett,New Hampshire,Democratic,0,4,4
Al Swift,Washington,Democratic,0,16,16
"Patrick Swindall, L.",Georgia,Republican,0,4,4
"James Symington, W.",Missouri,Democratic,0,8,8
Stuart Symington,Missouri,Democratic,24,0,24
"Steven Symms, D.",Idaho,Republican,12,8,20
Mike Synar,Oklahoma,Democratic,0,16,16
"Robert, Taft, Jr.",Ohio,Republican,6,6,12
