people,state,party,senate_years,house_years
"Denise Majette, L.",Georgia,Democratic,0,2003-2005
"Tom Malinowski, ",New Jersey,Democratic,0,2019-Present
"Richard Mallary, W.",Vermont,Republican,0,1971-1975
"Nicole Malliotakis, ",New York,Republican,0,2021-Present
"Carolyn Maloney, B.",New York,Democratic,0,1993-Present
"James Maloney, H.",Connecticut,Democratic,0,1997-2003
"Sean Maloney, Patrick",New York,Democratic,0,2013-Present
"Joe, Manchin, III",West Virginia,Democratic,2010-Present,0
"David Mann, ",Ohio,Democratic,0,1993-1995
"James Mann, R.",South Carolina,Democratic,0,1969-1979
"Tracey Mann, ",Kansas,Republican,0,2021-Present
"Kathy Manning, E.",North Carolina,Democratic,0,2021-Present
"Mike Mansfield, ",Montana,Democratic,1953-1977,1943-1953
"Thomas Manton, J.",New York,Democratic,0,1985-1999
"Donald Manzullo, A.",Illinois,Republican,0,1993-2013
"Joseph Maraziti, J.",New Jersey,Republican,0,1973-1975
"Kenny Marchant, ",Texas,Republican,0,2005-2021
"Marjorie Margolies-Mezvinsky, ",Pennsylvania,Democratic,0,1993-1995
"Tom Marino, ",Pennsylvania,Republican,0,2011-2019
"Betsy Markey, ",Colorado,Democratic,0,2009-2011
"Edward Markey, J.",Massachusetts,Democratic,2013-Present,1977-2013
"Marc Marks, L.",Pennsylvania,Republican,0,1977-1983
"Ron Marlenee, ",Montana,Republican,0,1977-1993
"David Marriott, Daniel",Utah,Republican,0,1977-1985
"Jim Marshall, ",Georgia,Democratic,0,2003-2011
"Roger Marshall, W.",Kansas,Republican,2021-Present,2017-2021
"David Martin, O'B.",New York,Republican,0,1981-1993
"David Martin, T.",Nebraska,Republican,0,1961-1975
"James Martin, G.",North Carolina,Republican,0,1973-1985
"Lynn Martin, M.",Illinois,Republican,0,1981-1991
"Matthew Martinez, G.",California,Republican,0,1981-2001
"Mel Martinez, ",Florida,Republican,2005-2009,0
"William Martini, J.",New Jersey,Republican,0,1995-1997
"Frank Mascara, ",Pennsylvania,Democratic,0,1995-2003
"Eric Massa, ",New York,Democratic,0,2009-2010
"Thomas Massie, ",Kentucky,Republican,0,2012-Present
"Brian Mast, J.",Florida,Republican,0,2017-Present
"Jim Matheson, ",Utah,Democratic,0,2001-2015
"Harlan Mathews, ",Tennessee,Democratic,1993-1995,0
"Charles Mathias, ",Maryland,Republican,1973-1987,1961-1969
"Robert Mathias, ",California,Republican,0,1967-1975
"Dawson Mathis, ",Georgia,Democratic,0,1971-1981
"Doris Matsui, O.",California,Democratic,0,2005-Present
"Robert Matsui, T.",California,Democratic,0,1979-2004
"Spark Matsunaga, M.",Hawaii,Democratic,1977-1991,1963-1977
"Mack Mattingly, ",Georgia,Republican,1981-1987,0
"James Mattox, A.",Texas,Democratic,0,1977-1983
"Nicholas Mavroules, ",Massachusetts,Democratic,0,1979-1993
"Wiley Mayne, ",Iowa,Republican,0,1967-1975
"Romano Mazzoli, L.",Kentucky,Democratic,0,1971-1995
"Ben McAdams, ",Utah,Democratic,0,2019-2021
"Vance McAllister, M.",Louisiana,Republican,0,2013-2015
"Lucy McBath, ",Georgia,Democratic,0,2019-Present
"John McCain, ",Arizona,Republican,1987-2018,1983-1987
"Alfred McCandless, ",California,Republican,0,1983-1995
"Carolyn McCarthy, ",New York,Democratic,0,1997-2015
"Karen McCarthy, ",Missouri,Democratic,0,1995-2005
"Kevin McCarthy, ",California,Republican,0,2007-Present
"Claire McCaskill, ",Missouri,Democratic,2007-2019,0
"Michael McCaul, T.",Texas,Republican,0,2005-Present
"Lisa McClain, C.",Michigan,Republican,0,2021-Present
"John McClellan, L.",Arkansas,Democratic,1973-1979,1935-1939
"Tom McClintock, ",California,Republican,0,2009-Present
"Robert McClory, ",Illinois,Republican,0,1963-1983
"Frank McCloskey, ",Indiana,Democratic,0,1983-1995
"Paul McCloskey, ",California,Republican,0,1967-1983
"James McClure, A.",Idaho,Republican,1973-1991,1967-1973
"John McCollister, Y.",Nebraska,Republican,0,1971-1977
"Betty McCollum, ",Minnesota,Democratic,0,2001-Present
"Bill McCollum, ",Florida,Republican,0,1981-2001
"Mitch McConnell, ",Kentucky,Republican,1985-Present,0
"Mike McCormack, ",Washington,Democratic,0,1971-1981
"Thaddeus McCotter, G.",Michigan,Republican,0,2003-2012
"Jim McCrery, ",Louisiana,Republican,0,1987-2011
"Dave McCurdy, ",Oklahoma,Democratic,0,1981-1995
"Joseph McDade, M.",Pennsylvania,Republican,0,1963-1999
"Jim McDermott, ",Washington,Democratic,0,1989-2017
"Lawrence McDonald, P.",Georgia,Democratic,0,1975-1985
"A. McEachin, Donald",Virginia,Democratic,0,2017-Present
"Bob McEwen, ",Ohio,Republican,0,1981-1993
"Robert McEwen, C.",New York,Republican,0,1965-1981
"John McFall, J.",California,Democratic,0,1957-1979
"Gale McGee, W.",Wyoming,Democratic,1959-1977,0
"George McGovern, ",South Dakota,Democratic,1963-1981,1957-1961
"James McGovern, P.",Massachusetts,Democratic,0,1997-Present
"Raymond McGrath, J.",New York,Republican,0,1981-1993
"Paul McHale, ",Pennsylvania,Democratic,0,1993-1999
"Patrick McHenry, T.",North Carolina,Republican,0,2005-Present
"John McHugh, M.",New York,Republican,0,1993-2009
"Matthew McHugh, F.",New York,Democratic,0,1975-1993
"Scott McInnis, ",Colorado,Republican,0,1993-2005
"David McIntosh, M.",Indiana,Republican,0,1995-2001
"Mike McIntyre, ",North Carolina,Democratic,0,1997-2015
"Thomas McIntyre, J.",New Hampshire,Democratic,1961-1979,0
"K. McKay, Gunn",Utah,Democratic,0,1971-1981
"Howard McKeon, ",California,Republican,0,1993-2015
"John McKernan, ",Maine,Republican,0,1983-1987
"David McKinley, B.",West Virginia,Republican,0,2011-Present
"Cynthia McKinney, A.",Georgia,Democratic,0,"1993-2003,"
"Stewart McKinney, B.",Connecticut,Republican,0,1971-1989
"Michael McMahon, E.",New York,Democratic,0,2009-2011
"J. McMillan, Alex",North Carolina,Republican,0,1985-1995
"Thomas McMillen, ",Maryland,Democratic,0,1987-1993
"Rodgers, McMorris, Cathy",Washington,Republican,0,2005-Present
"Jerry McNerney, ",California,Democratic,0,2007-Present
"James McNulty, ",Arizona,Democratic,0,1983-1985
"Michael McNulty, R.",New York,Democratic,0,1989-2009
"Martha McSally, ",Arizona,Republican,2019-2020,2015-2019
"Clem McSpadden, Rogers",Oklahoma,Democratic,0,1973-1975
"Mark Meadows, ",North Carolina,Republican,0,2013-2020
"Lloyd Meeds, ",Washington,Democratic,0,1965-1979
"Martin Meehan, T.",Massachusetts,Democratic,0,1993-2007
"Patrick Meehan, ",Pennsylvania,Republican,0,2011-2018
"Carrie Meek, P.",Florida,Democratic,0,1993-2003
"Kendrick Meek, B.",Florida,Democratic,0,2003-2011
"Gregory Meeks, W.",New York,Democratic,0,1997-Present
"Peter Meijer, ",Michigan,Republican,0,2021-Present
"Charlie Melancon, ",Louisiana,Democratic,0,2005-2011
"John Melcher, ",Montana,Democratic,1977-1989,1969-1977
"Robert Menendez, ",New Jersey,Democratic,2006-Present,1993-2006
"Grace Meng, ",New York,Democratic,0,2013-Present
"Jeff Merkley, ",Oregon,Democratic,2009-Present,0
"Luke Messer, ",Indiana,Republican,0,2013-2019
"Jack Metcalf, ",Washington,Republican,0,1995-2001
"Lee Metcalf, ",Montana,Democratic,1961-1979,1953-1961
"Ralph Metcalfe, H.",Illinois,Democratic,0,1971-1979
"Howard Metzenbaum, M.",Ohio,Democratic,"1973-1975,",0
"Daniel Meuser, ",Pennsylvania,Republican,0,2019-Present
"Jan Meyers, ",Kansas,Republican,0,1985-1997
"Helen Meyner, S.",New Jersey,Democratic,0,1975-1979
"Edward Mezvinsky, ",Iowa,Democratic,0,1973-1977
"Kweisi Mfume, ",Maryland,Democratic,0,"1987-1997,"
"Daniel Mica, Andrew",Florida,Democratic,0,1979-1989
"John Mica, L.",Florida,Republican,0,1993-2017
"Michael Michaud, H.",Maine,Democratic,0,2003-2015
"Robert Michel, H.",Illinois,Republican,0,1957-1995
"Barbara Mikulski, A.",Maryland,Democratic,1987-2017,1977-1987
"Abner Mikva, J.",Illinois,Democratic,0,"1969-1973,"
"Dale Milford, ",Texas,Democratic,0,1973-1979
"Juanita Millender-McDonald, ",California,Democratic,0,1995-2007
"Brad Miller, ",North Carolina,Democratic,0,2003-2013
"Candice Miller, S.",Michigan,Republican,0,2003-2017
"Carol Miller, D.",West Virginia,Republican,0,2019-Present
"Clarence Miller, E.",Ohio,Republican,0,1967-1993
"Dan Miller, ",Florida,Republican,0,1993-2003
"Gary Miller, G.",California,Republican,0,1999-2015
"George Miller, ",California,Democratic,0,1975-2015
"Jeff Miller, ",Florida,Republican,0,2001-2017
"John Miller, R.",Washington,Republican,0,1985-1993
"Mary Miller, E.",Illinois,Republican,0,2021-Present
"Zell Miller, ",Georgia,Democratic,2000-2005,0
"Mariannette Miller-Meeks, ",Iowa,Republican,0,2021-Present
"Wilbur Mills, D.",Arkansas,Democratic,0,1939-1977
"William Mills, O.",Maryland,Republican,0,1971-1975
"Norman Mineta, Y.",California,Democratic,0,1975-1997
"David Minge, ",Minnesota,Democratic,0,1993-2001
"Joseph Minish, G.",New Jersey,Democratic,0,1963-1985
"Patsy Mink, T.",Hawaii,Democratic,0,"1965-1977,"
"Walter Minnick, ",Idaho,Democratic,0,2009-2011
"William Minshall, E.",Ohio,Republican,0,1955-1975
"Donald Mitchell, J.",New York,Republican,0,1973-1983
"George Mitchell, J.",Maine,Democratic,1979-1995,0
"Harry Mitchell, E.",Arizona,Democratic,0,2007-2011
"Parren Mitchell, J.",Maryland,Democratic,0,1971-1987
"Paul Mitchell, ",Michigan,Independent,0,2017-2021
"Wilmer Mizell, ",North Carolina,Republican,0,1969-1975
"John Moakley, Joseph",Massachusetts,Democratic,0,1973-2001
"Toby Moffett, ",Connecticut,Democratic,0,1975-1983
"Guy Molinari, ",New York,Republican,0,1981-1991
"Susan Molinari, ",New York,Republican,0,1989-1999
"Alan Mollohan, B.",West Virginia,Democratic,0,1983-2011
"Robert Mollohan, H.",West Virginia,Democratic,0,"1953-1957,"
"Walter Mondale, F.",Minnesota,Democratic,1963-1977,0
"David Monson, S.",Utah,Republican,0,1985-1987
"G. Montgomery, ",Mississippi,Democratic,0,1967-1997
"Joseph Montoya, M.",New Mexico,Democratic,1963-1977,1957-1963
"Jim Moody, ",Wisconsin,Democratic,0,1983-1993
"John Moolenaar, R.",Michigan,Republican,0,2015-Present
"Alexander Mooney, X.",West Virginia,Republican,0,2015-Present
"Barry Moore, ",Alabama,Republican,0,2021-Present
"Blake Moore, D.",Utah,Republican,0,2021-Present
"Dennis Moore, ",Kansas,Democratic,0,1999-2011
"Gwen Moore, ",Wisconsin,Democratic,0,2005-Present
"W. Moore, Henson",Louisiana,Republican,0,1975-1987
"Carlos Moorhead, J.",California,Republican,0,1973-1997
"William Moorhead, S.",Pennsylvania,Democratic,0,1959-1981
"James Moran, P.",Virginia,Democratic,0,1991-2015
"Jerry Moran, ",Kansas,Republican,2011-Present,1997-2011
"Constance Morella, A.",Maryland,Republican,0,1987-2003
"Joseph Morelle, D.",New York,Democratic,0,2018-Present
"Robert Morgan, B.",North Carolina,Democratic,1975-1981,0
"Thomas Morgan, E.",Pennsylvania,Democratic,0,"1945-1959,"
"Bruce Morrison, A.",Connecticut,Democratic,0,1983-1991
"Sid Morrison, ",Washington,Republican,0,1981-1993
"Carol Moseley-Braun, ",Illinois,Democratic,1993-1999,0
"Charles Mosher, A.",Ohio,Republican,0,1961-1977
"Frank Moss, E.",Utah,Democratic,1959-1977,0
"John Moss, E.",California,Democratic,0,1953-1979
"Ronald Mottl, M.",Ohio,Democratic,0,1975-1983
"Seth Moulton, ",Massachusetts,Democratic,0,2015-Present
"Daniel Moynihan, Patrick",New York,Democratic,1977-2001,0
"Robert Mrazek, J.",New York,Democratic,0,1983-1993
"Frank Mrvan, J.",Indiana,Democratic,0,2021-Present
"Debbie Mucarsel-Powell, ",Florida,Democratic,0,2019-2021
"Markwayne Mullin, ",Oklahoma,Republican,0,2013-Present
"Mick Mulvaney, ",South Carolina,Republican,0,2011-2017
"Frank Murkowski, H.",Alaska,Republican,1981-2002,0
"Lisa Murkowski, ",Alaska,Republican,2003-Present,0
"Austin Murphy, J.",Pennsylvania,Democratic,0,1977-1995
"Christopher Murphy, ",Connecticut,Democratic,2013-Present,2007-2013
"Gregory Murphy, ",North Carolina,Republican,0,2019-Present
"John Murphy, M.",New York,Democratic,0,1963-1981
"Morgan Murphy, F.",Illinois,Democratic,0,1971-1981
"Patrick Murphy, ",Florida,Democratic,0,2013-2017
"Patrick Murphy, J.",Pennsylvania,Democratic,0,2007-2011
"Scott Murphy, ",New York,Democratic,0,2009-2011
"Stephanie Murphy, N.",Florida,Democratic,0,2017-Present
"Tim Murphy, ",Pennsylvania,Republican,0,2003-2017
"Patty Murray, ",Washington,Democratic,1993-Present,0
"John Murtha, P.",Pennsylvania,Democratic,0,1973-2010
"Marilyn Musgrave, N.",Colorado,Republican,0,2003-2009
"Edmund Muskie, S.",Maine,Democratic,1959-1981,0
"Raphael Musto, ",Pennsylvania,Democratic,0,1979-1981
"Gary Myers, A.",Pennsylvania,Republican,0,1975-1979
"John Myers, T.",Indiana,Republican,0,1967-1997
"Michael Myers, O.",Pennsylvania,Democratic,0,1977-1981
"Sue Myrick, Wilkins",North Carolina,Republican,0,1995-2013
"Jerrold Nadler, ",New York,Democratic,0,1991-Present
"Dave Nagle, R,",Iowa,Democratic,0,1987-1993
"John Napier, L.",South Carolina,Republican,0,1981-1983
"Grace Napolitano, F.",California,Democratic,0,1999-Present
"William Natcher, H.",Kentucky,Democratic,0,1953-1995
"Richard Neal, E.",Massachusetts,Democratic,0,1989-Present
"Stephen Neal, L.",North Carolina,Democratic,0,1975-1995
"Lucien Nedzi, N.",Michigan,Democratic,0,1961-1981
"McLeod, Negrete, Gloria",California,Democratic,0,2013-2015
"Joe Neguse, ",Colorado,Democratic,0,2019-Present
"Troy Nehls, E.",Texas,Republican,0,2021-Present
"James Nelligan, L.",Pennsylvania,Republican,0,1981-1983
"Ancher Nelsen, ",Minnesota,Republican,0,1959-1975
"Ben Nelson, ",Nebraska,Democratic,2001-2013,0
"Bill Nelson, ",Florida,Democratic,2001-2019,1979-1991
"Gaylord Nelson, ",Wisconsin,Democratic,1963-1981,0
"George Nethercutt, ",Washington,Republican,0,1995-2005
"Randy Neugebauer, ",Texas,Republican,0,2003-2017
"Mark Neumann, W.",Wisconsin,Republican,0,1995-1999
"Dan Newhouse, ",Washington,Republican,0,2015-Present
"Marie Newman, ",Illinois,Democratic,0,2021-Present
"Robert Ney, W.",Ohio,Republican,0,1995-2007
"Bill Nichols, ",Alabama,Democratic,0,1967-1989
"Dick Nichols, ",Kansas,Republican,0,1991-1993
"Don Nickles, ",Oklahoma,Republican,1981-2005,0
"Howard Nielson, C.",Utah,Republican,0,1983-1991
"Robert Nix, ",Pennsylvania,Democratic,0,1957-1979
"Kristi Noem, L.",South Dakota,Republican,0,2011-2019
"Richard Nolan, M.",Minnesota,Democratic,0,"1975-1981,"
"Donald Norcross, ",New Jersey,Democratic,0,2014-Present
"Ralph Norman, ",South Carolina,Republican,0,2017-Present
"Anne Northup, M.",Kentucky,Republican,0,1997-2007
"Eleanor Norton, Holmes",District of Columbia,Democratic,0,1991-Present
"Charles Norwood, W.",Georgia,Republican,0,1995-2007
"Henry Nowak, ",New York,Democratic,0,1975-1993
"Richard Nugent, B.",Florida,Republican,0,2011-2017
"Devin Nunes, ",California,Republican,0,2003-Present
"Sam Nunn, ",Georgia,Democratic,1971-1997,0
"Alan Nunnelee, ",Mississippi,Republican,0,2011-2015
"Jim Nussle, ",Iowa,Republican,0,1991-2007
"Glenn Nye, C.",Virginia,Democratic,0,2009-2011
"George O'Brien, M.",Illinois,Republican,0,1973-1987
"Tom O'Halleran, ",Arizona,Democratic,0,2017-Present
"James O'Hara, G.",Michigan,Democratic,0,1959-1977
"Thomas O'Neill, ",Massachusetts,Democratic,0,1953-1987
"Beto O'Rourke, ",Texas,Democratic,0,2013-2019
"Mary Oakar, Rose",Ohio,Democratic,0,1977-1993
"Barack Obama, ",Illinois,Democratic,2005-2008,0
"Jay Obernolte, ",California,Republican,0,2021-Present
"James Oberstar, L.",Minnesota,Democratic,0,1975-2011
"David Obey, R.",Wisconsin,Democratic,0,1969-2011
"Alexandria Ocasio-Cortez, ",New York,Democratic,0,2019-Present
"James Olin, R.",Virginia,Democratic,0,1983-1993
"Pete Olson, ",Texas,Republican,0,2009-2021
"John Olver, W.",Massachusetts,Democratic,0,1991-2013
"Ilhan Omar, ",Minnesota,Democratic,0,2019-Present
"Solomon Ortiz, P.",Texas,Democratic,0,1983-2011
"Bill Orton, ",Utah,Democratic,0,1991-1997
"Tom Osborne, ",Nebraska,Republican,0,2001-2007
"Doug Ose, ",California,Republican,0,1999-2005
"Jon Ossoff, ",Georgia,Democratic,2021-Present,0
"C. Otter, ",Idaho,Republican,0,2001-2007
"Richard Ottinger, L.",New York,Democratic,0,"1965-1971,"
"Burgess Owens, ",Utah,Republican,0,2021-Present
"Major Owens, R.",New York,Democratic,0,1983-2007
"Wayne Owens, ",Utah,Democratic,0,"1973-1975,"
"William Owens, L.",New York,Democratic,0,2009-2015
"Michael Oxley, G.",Ohio,Republican,0,1981-2007
"Ron Packard, ",California,Republican,0,1983-2001
"Bob Packwood, ",Oregon,Republican,1969-1997,0
"Alex Padilla, ",California,Democratic,2021-Present,0
"Steven Palazzo, M.",Mississippi,Republican,0,2011-Present
"Frank, Pallone, Jr.",New Jersey,Democratic,0,1987-Present
"Gary Palmer, J.",Alabama,Republican,0,2015-Present
"Jimmy Panetta, ",California,Democratic,0,2017-Present
"Leon Panetta, ",California,Democratic,0,1977-1995
"Chris Pappas, ",New Hampshire,Democratic,0,2019-Present
"Michael Pappas, ",New Jersey,Republican,0,1997-1999
"Mike Parker, ",Mississippi,Republican,0,1989-1999
"Stanford Parris, ",Virginia,Republican,0,"1973-1975,"
"Bill, Pascrell, Jr.",New Jersey,Democratic,0,1997-Present
"Charles, Pashayan, Jr.",California,Republican,0,1979-1991
"Otto Passman, E.",Louisiana,Democratic,0,1947-1977
"Ed Pastor, ",Arizona,Democratic,0,1991-2015
"John Pastore, O.",Rhode Island,Democratic,1949-1977,0
"William Patman, N.",Texas,Democratic,0,1981-1985
"Wright Patman, ",Texas,Democratic,0,1929-1977
"Edward Patten, J.",New Jersey,Democratic,0,1963-1981
"Elizabeth Patterson, ",South Carolina,Democratic,0,1987-1993
"Jerry Patterson, M.",California,Democratic,0,1975-1985
"Edward Pattison, W.",New York,Democratic,0,1975-1979
"Rand Paul, ",Kentucky,Republican,2011-Present,0
"Ron Paul, ",Texas,Republican,0,"1975-1977,"
"Erik Paulsen, ",Minnesota,Republican,0,2009-2019
"Bill Paxon, ",New York,Republican,0,1989-1999
"Donald Payne, M.",New Jersey,Democratic,0,1989-2012
"Donald Payne, ",New Jersey,Democratic,0,2012-Present
"Lewis Payne, ",Virginia,Democratic,0,1987-1997
"Stevan Pearce, ",New Mexico,Republican,0,"2003-2009,"
"James Pearson, B.",Kansas,Republican,1961-1979,0
"Donald Pease, J.",Ohio,Democratic,0,1977-1993
"Edward Pease, A.",Indiana,Republican,0,1997-2001
"Claiborne Pell, ",Rhode Island,Democratic,1961-1997,0
"Nancy Pelosi, ",California,Democratic,0,1987-Present
"Greg Pence, ",Indiana,Republican,0,2019-Present
"Mike Pence, ",Indiana,Republican,0,2001-2013
"Timothy Penny, J.",Minnesota,Democratic,0,1983-1995
"Claude Pepper, ",Florida,Democratic,1935-1951,1963-1991
"Charles Percy, H.",Illinois,Republican,1967-1985,0
"David Perdue, ",Georgia,Republican,2015-2021,0
"Carl Perkins, C.",Kentucky,Democratic,0,1984-1993
"Carl Perkins, Dewey",Kentucky,Democratic,0,1949-1985
"Ed Perlmutter, ",Colorado,Democratic,0,2007-Present
"Thomas Perriello, S.P.",Virginia,Democratic,0,2009-2011
"Scott Perry, ",Pennsylvania,Republican,0,2013-Present
"Gary Peters, C.",Michigan,Democratic,2015-Present,2009-2015
"Scott Peters, H.",California,Democratic,0,2013-Present
"Collin Peterson, C.",Minnesota,Democratic,0,1991-2021
"Douglas Peterson, (Pete)",Florida,Democratic,0,1991-1997
"John Peterson, E.",Pennsylvania,Republican,0,1997-2009
"Thomas Petri, E.",Wisconsin,Republican,0,1979-2015
"Jerry Pettis, L.",California,Republican,0,1967-1977
"Shirley Pettis, N.",California,Republican,0,1975-1979
"Peter Peyser, A.",New York,Democratic,0,"1971-1977,"
"August Pfluger, ",Texas,Republican,0,2021-Present
"David Phelps, D.",Illinois,Democratic,0,1999-2003
"Dean Phillips, ",Minnesota,Democratic,0,2019-Present
"Charles Pickering, ",Mississippi,Republican,0,1997-2009
"Owen Pickett, B.",Virginia,Democratic,0,1987-2001
"J. Pickle, J.",Texas,Democratic,0,1963-1995
"Pierluisi, Commissioner, ",Puerto Rico,Democratic,0,2009-2017
"Otis Pike, G.",New York,Democratic,0,1961-1979
"Chellie Pingree, ",Maine,Democratic,0,2009-Present
"Robert Pittenger, ",North Carolina,Republican,0,2013-2019
"Joseph Pitts, R.",Pennsylvania,Republican,0,1997-2017
"Stacey Plaskett, E.",Virgin Islands,Democratic,0,2015-Present
"Todd Platts, Russell",Pennsylvania,Republican,0,2001-2013
"W. Poage, R.",Texas,Democratic,0,1937-1979
"Mark Pocan, ",Wisconsin,Democratic,0,2013-Present
"Bertram Podell, L.",New York,Democratic,0,1967-1975
"Ted Poe, ",Texas,Republican,0,2005-2019
"Bruce Poliquin, ",Maine,Republican,0,2015-2019
"Jared Polis, ",Colorado,Democratic,0,2009-2019
"Richard Pombo, W.",California,Republican,0,1993-2007
"Earl Pomeroy, ",North Dakota,Democratic,0,1993-2011
"Mike Pompeo, ",Kansas,Republican,0,2011-2017
"John Porter, Edward",Illinois,Republican,0,1979-2001
"Jon Porter, C.",Nevada,Republican,0,2003-2009
"Katie Porter, ",California,Democratic,0,2019-Present
"Rob Portman, ",Ohio,Republican,2011-Present,1993-2007
"Bill Posey, ",Florida,Republican,0,2009-Present
"Glenn Poshard, ",Illinois,Democratic,0,1989-1999
"Walter Powell, E.",Ohio,Republican,0,1971-1975
"Larry Pressler, ",South Dakota,Republican,1979-1997,1975-1979
"Ayanna Pressley, ",Massachusetts,Democratic,0,2019-Present
"Richardson Preyer, ",North Carolina,Democratic,0,1969-1981
"David Price, E.",North Carolina,Democratic,0,"1987-1995,"
"Melvin Price, ",Illinois,Democratic,0,1945-1989
"Robert Price, D.",Texas,Republican,0,1967-1975
"Tom Price, ",Georgia,Republican,0,2005-2017
"Joel Pritchard, ",Washington,Republican,0,1973-1985
"William Proxmire, ",Wisconsin,Democratic,1957-1989,0
"Deborah Pryce, ",Ohio,Republican,0,1993-2009
"David Pryor, H.",Arkansas,Democratic,1979-1997,1965-1973
"Mark Pryor, L.",Arkansas,Democratic,2003-2015,0
"Carl Pursell, D.",Michigan,Republican,0,1977-1993
"Adam Putnam, H.",Florida,Republican,0,2001-2011
"Benjamin Quayle, ",Arizona,Republican,0,2011-2013
"Dan Quayle, ",Indiana,Republican,1981-1991,1977-1981
"Albert Quie, H.",Minnesota,Republican,0,1957-1979
"Mike Quigley, ",Illinois,Democratic,0,2009-Present
"James Quillen, ",Tennessee,Republican,0,1963-1997
"Jack Quinn, ",New York,Republican,0,1993-2005
"George Radanovich, ",California,Republican,0,1995-2011
"Trey Radel, ",Florida,Republican,0,2013-2014
"Aumua Radewagen, ",American Samoa,Republican,0,2015-Present
"Nick Rahall, ",West Virginia,Democratic,0,1977-2015
"Thomas Railsback, F.",Illinois,Republican,0,1967-1983
"Jim Ramstad, ",Minnesota,Republican,0,1991-2009
"William Randall, J.",Missouri,Democratic,0,1959-1977
"Jennings Randolph, ",West Virginia,Democratic,1957-1985,1933-1947
"Charles Rangel, B.",New York,Democratic,0,1971-2017
"John Rarick, R.",Louisiana,Democratic,0,1967-1975
"Jamie Raskin, ",Maryland,Democratic,0,2017-Present
"William Ratchford, R.",Connecticut,Democratic,0,1979-1985
"John Ratcliffe, ",Texas,Republican,0,2015-2020
"Arthur, Ravenel, Jr.",South Carolina,Republican,0,1987-1995
"Richard Ray, B.",Georgia,Democratic,0,1983-1993
"Bill Redmond, ",New Mexico,Republican,0,1997-1999
"Jack Reed, ",Rhode Island,Democratic,1997-Present,1991-1997
"Tom Reed, ",New York,Republican,0,2010-Present
"Thomas Rees, M.",California,Democratic,0,1965-1977
"Ralph Regula, ",Ohio,Republican,0,1973-2009
"Denny Rehberg, ",Montana,Republican,0,2001-2013
"David Reichert, G.",Washington,Republican,0,2005-2019
"Harry Reid, ",Nevada,Democratic,1987-2017,1983-1987
"Ogden Reid, R.",New York,Democratic,0,1963-1975
"James Renacci, B.",Ohio,Republican,0,2011-2019
"Rick Renzi, ",Arizona,Republican,0,2003-2009
"Guy Reschenthaler, ",Pennsylvania,Republican,0,2019-Present
"Henry Reuss, S.",Wisconsin,Democratic,0,1955-1983
"Silvestre Reyes, ",Texas,Democratic,0,1997-2013
"Mel Reynolds, ",Illinois,Democratic,0,1993-1997
"Thomas Reynolds, M.",New York,Republican,0,1999-2009
"John Rhodes, J.",Arizona,Republican,0,1953-1983
"John Rhodes, ",Arizona,Republican,0,1987-1993
"Reid Ribble, J.",Wisconsin,Republican,0,2011-2017
"Abraham Ribicoff, A.",Connecticut,Democratic,1963-1981,1949-1953
"Kathleen Rice, M.",New York,Democratic,0,2015-Present
"Tom Rice, ",South Carolina,Republican,0,2013-Present
"Bill Richardson, ",New Mexico,Democratic,0,1983-1999
"Laura Richardson, ",California,Democratic,0,2007-2013
"Cedric Richmond, L.",Louisiana,Democratic,0,2011-2021
"Frederick Richmond, W.",New York,Democratic,0,1975-1983
"Thomas Ridge, J.",Pennsylvania,Republican,0,1983-1995
"Donald Riegle, ",Michigan,Democratic,1977-1995,1967-1977
"E. Rigell, Scott",Virginia,Republican,0,2011-2017
"Denver Riggleman, ",Virginia,Republican,0,2019-2021
"Frank Riggs, ",California,Republican,0,"1991-1993,"
"Bob Riley, ",Alabama,Republican,0,1997-2003
"Matthew Rinaldo, J.",New Jersey,Republican,0,1973-1993
"James Risch, E.",Idaho,Republican,2009-Present,0
"Theodore Risenhoover, M.",Oklahoma,Democratic,0,1975-1979
"Don Ritter, ",Pennsylvania,Republican,0,1979-1993
"David Rivera, ",Florida,Republican,0,2011-2013
"Lynn Rivers, N.",Michigan,Democratic,0,1995-2003
"Charles Robb, S.",Virginia,Democratic,1989-2001,0
"Clint Roberts, ",South Dakota,Republican,0,1981-1983
"Pat Roberts, ",Kansas,Republican,1997-2021,1981-1997
"Ray Roberts, ",Texas,Democratic,0,1961-1981
"J. Robinson, Kenneth",Virginia,Republican,0,1971-1985
"Tommy Robinson, F.",Arkansas,Republican,0,1985-1991
"Howard Robison, W.",New York,Republican,0,1957-1975
"Martha Roby, ",Alabama,Republican,0,2011-2021
"John Rockefeller, ",West Virginia,Democratic,1985-2015,0
"Peter Rodino, ",New Jersey,Democratic,0,1949-1989
"Ciro Rodriguez, D.",Texas,Democratic,0,"1997-2005,"
"David Roe, P.",Tennessee,Republican,0,2009-2021
"Robert Roe, A.",New Jersey,Democratic,0,1969-1993
"Buddy Roemer, ",Louisiana,Democratic,0,1981-1989
"Tim Roemer, ",Indiana,Democratic,0,1991-2003
"James Rogan, E.",California,Republican,0,1997-2001
"Harold Rogers, ",Kentucky,Republican,0,1981-Present
"Mike Rogers, D.",Alabama,Republican,0,2003-Present
"Mike Rogers, J.",Michigan,Republican,0,2001-2015
"Paul Rogers, G.",Florida,Democratic,0,1955-1979
