people,state,party,senate_years,house_years
"Jon Christensen, ",Nebraska,Republican,0,1995-1999
"Dick Chrysler, ",Michigan,Republican,0,1995-1997
"Judy Chu, ",California,Democratic,0,2009-Present
"Frank Church, ",Idaho,Democratic,1957-1981,0
"David Cicilline, N.",Rhode Island,Democratic,0,2011-Present
"Gilbert Cisneros, ",California,Democratic,0,2019-2021
"Donald Clancy, D.",Ohio,Republican,0,1961-1977
"Dick Clark, ",Iowa,Democratic,1973-1979,0
"Frank Clark, M.",Pennsylvania,Democratic,0,1955-1975
"Katherine Clark, M.",Massachusetts,Democratic,0,2013-Present
"Hansen Clarke, ",Michigan,Democratic,0,2011-2013
"James Clarke, McC.",North Carolina,Democratic,0,"1983-1985,"
"Yvette Clarke, D.",New York,Democratic,0,2007-Present
"Don Clausen, H.",California,Republican,0,1963-1983
"Curt Clawson, ",Florida,Republican,0,2014-2017
"Del Clawson, ",California,Republican,0,1963-1979
"William Clay, (Bill)",Missouri,Democratic,0,1969-2001
"Wm. Clay, Lacy",Missouri,Democratic,0,2001-2021
"Eva Clayton, M.",North Carolina,Democratic,0,1991-2003
"Emanuel Cleaver, ",Missouri,Democratic,0,2005-Present
"Max Cleland, ",Georgia,Democratic,1997-2003,0
"Bob Clement, ",Tennessee,Democratic,0,1987-2003
"James Cleveland, C.",New Hampshire,Republican,0,1963-1981
"Ben Cline, ",Virginia,Republican,0,2019-Present
"William Clinger, ",Pennsylvania,Republican,0,1979-1997
"Hillary Clinton, Rodham",New York,Democratic,2001-2009,0
"Michael Cloud, ",Texas,Republican,0,2018-Present
"James Clyburn, E.",South Carolina,Democratic,0,1993-Present
"Andrew Clyde, S.",Georgia,Republican,0,2021-Present
"Daniel Coats, ",Indiana,Republican,"1989-1999,",1981-1989
"William Cobey, W.",North Carolina,Republican,0,1985-1987
"Howard Coble, ",North Carolina,Republican,0,1985-2015
"Tom Coburn, ",Oklahoma,Republican,2005-2015,1995-2001
"Thad Cochran, ",Mississippi,Republican,1979-2018,1973-1979
"Anthony Coelho, Lee",California,Democratic,0,1979-1991
"Mike Coffman, ",Colorado,Republican,0,2009-2019
"Steve Cohen, ",Tennessee,Democratic,0,2007-Present
"William Cohen, S.",Maine,Republican,1979-1997,1973-1979
"Tom Cole, ",Oklahoma,Republican,0,2003-Present
